typhoon,datetime,intensity,lat,lon
HAGIBIS,2014-06-13 00:00:00,15,20,117
HAGIBIS,2014-06-13 01:00:00,15,20,116.92
HAGIBIS,2014-06-13 02:00:00,15,20,116.83
HAGIBIS,2014-06-13 03:00:00,15,20,116.75
HAGIBIS,2014-06-13 04:00:00,15,20,116.67
HAGIBIS,2014-06-13 05:00:00,15,20,116.58
HAGIBIS,2014-06-13 06:00:00,15,20,116.5
HAGIBIS,2014-06-13 07:00:00,15,20.05,116.5
HAGIBIS,2014-06-13 08:00:00,15,20.1,116.5
HAGIBIS,2014-06-13 09:00:00,15,20.15,116.5
HAGIBIS,2014-06-13 10:00:00,15,20.2,116.5
HAGIBIS,2014-06-13 11:00:00,15,20.25,116.5
HAGIBIS,2014-06-13 12:00:00,15,20.3,116.5
HAGIBIS,2014-06-13 13:00:00,15,20.3,116.52
HAGIBIS,2014-06-13 14:00:00,15,20.3,116.53
HAGIBIS,2014-06-13 15:00:00,15,20.3,116.55
HAGIBIS,2014-06-13 16:00:00,15,20.3,116.57
HAGIBIS,2014-06-13 17:00:00,15,20.3,116.58
HAGIBIS,2014-06-13 18:00:00,15,20.3,116.6
HAGIBIS,2014-06-13 19:00:00,15,20.3,116.63
HAGIBIS,2014-06-13 20:00:00,15,20.3,116.67
HAGIBIS,2014-06-13 21:00:00,15,20.3,116.7
HAGIBIS,2014-06-13 22:00:00,15,20.3,116.73
HAGIBIS,2014-06-13 23:00:00,15,20.3,116.77
HAGIBIS,2014-06-14 00:00:00,15,20.3,116.8
HAGIBIS,2014-06-14 01:00:00,15,20.35,116.8
HAGIBIS,2014-06-14 02:00:00,15,20.4,116.8
HAGIBIS,2014-06-14 03:00:00,15,20.45,116.8
HAGIBIS,2014-06-14 04:00:00,15,20.5,116.8
HAGIBIS,2014-06-14 05:00:00,15,20.55,116.8
HAGIBIS,2014-06-14 06:00:00,18,20.6,116.8
HAGIBIS,2014-06-14 07:00:00,18,20.65,116.8
HAGIBIS,2014-06-14 08:00:00,18,20.7,116.8
HAGIBIS,2014-06-14 09:00:00,18,20.75,116.8
HAGIBIS,2014-06-14 10:00:00,18,20.8,116.8
HAGIBIS,2014-06-14 11:00:00,18,20.85,116.8
HAGIBIS,2014-06-14 12:00:00,20,20.9,116.8
HAGIBIS,2014-06-14 13:00:00,20,20.97,116.8
HAGIBIS,2014-06-14 14:00:00,20,21.03,116.8
HAGIBIS,2014-06-14 15:00:00,20,21.1,116.8
HAGIBIS,2014-06-14 16:00:00,20,21.2,116.8
HAGIBIS,2014-06-14 17:00:00,20,21.3,116.8
HAGIBIS,2014-06-14 18:00:00,20,21.4,116.8
HAGIBIS,2014-06-14 19:00:00,20,21.53,116.8
HAGIBIS,2014-06-14 20:00:00,20,21.67,116.8
HAGIBIS,2014-06-14 21:00:00,20,21.8,116.8
HAGIBIS,2014-06-14 22:00:00,20,21.9,116.8
HAGIBIS,2014-06-14 23:00:00,20,22,116.8
HAGIBIS,2014-06-15 00:00:00,20,22.1,116.8
HAGIBIS,2014-06-15 01:00:00,20,22.2,116.8
HAGIBIS,2014-06-15 02:00:00,20,22.3,116.8
HAGIBIS,2014-06-15 03:00:00,20,22.4,116.8
HAGIBIS,2014-06-15 04:00:00,20,22.53,116.77
HAGIBIS,2014-06-15 05:00:00,20,22.67,116.73
HAGIBIS,2014-06-15 06:00:00,20,22.8,116.7
HAGIBIS,2014-06-15 07:00:00,20,22.93,116.67
HAGIBIS,2014-06-15 08:00:00,20,23.07,116.63
HAGIBIS,2014-06-15 09:00:00,18,23.2,116.6
HAGIBIS,2014-06-15 10:00:00,18,23.27,116.57
HAGIBIS,2014-06-15 11:00:00,18,23.33,116.53
HAGIBIS,2014-06-15 12:00:00,18,23.4,116.5
HAGIBIS,2014-06-15 13:00:00,18,23.5,116.5
HAGIBIS,2014-06-15 14:00:00,18,23.6,116.5
HAGIBIS,2014-06-15 15:00:00,18,23.7,116.5
HAGIBIS,2014-06-15 16:00:00,18,23.8,116.5
HAGIBIS,2014-06-15 17:00:00,18,23.9,116.5
HAGIBIS,2014-06-15 18:00:00,15,24,116.5
HAGIBIS,2014-06-15 19:00:00,15,24.08,116.58
HAGIBIS,2014-06-15 20:00:00,15,24.17,116.67
HAGIBIS,2014-06-15 21:00:00,15,24.25,116.75
HAGIBIS,2014-06-15 22:00:00,15,24.33,116.83
HAGIBIS,2014-06-15 23:00:00,15,24.42,116.92
HAGIBIS,2014-06-16 00:00:00,15,24.5,117
HAGIBIS,2014-06-16 01:00:00,15,24.67,117.08
HAGIBIS,2014-06-16 02:00:00,15,24.83,117.17
HAGIBIS,2014-06-16 03:00:00,15,25,117.25
HAGIBIS,2014-06-16 04:00:00,15,25.17,117.33
HAGIBIS,2014-06-16 05:00:00,15,25.33,117.42
HAGIBIS,2014-06-16 06:00:00,15,25.5,117.5
HAGIBIS,2014-06-16 07:00:00,15,25.64,117.81
HAGIBIS,2014-06-16 08:00:00,15,25.78,118.11
HAGIBIS,2014-06-16 09:00:00,15,25.92,118.42
HAGIBIS,2014-06-16 10:00:00,15,26.06,118.72
HAGIBIS,2014-06-16 11:00:00,15,26.19,119.03
HAGIBIS,2014-06-16 12:00:00,15,26.33,119.33
HAGIBIS,2014-06-16 13:00:00,15,26.47,119.64
HAGIBIS,2014-06-16 14:00:00,15,26.61,119.94
HAGIBIS,2014-06-16 15:00:00,15,26.75,120.25
HAGIBIS,2014-06-16 16:00:00,15,26.89,120.56
HAGIBIS,2014-06-16 17:00:00,15,27.03,120.86
HAGIBIS,2014-06-16 18:00:00,15,27.17,121.17
HAGIBIS,2014-06-16 19:00:00,15,27.31,121.47
HAGIBIS,2014-06-16 20:00:00,15,27.44,121.78
HAGIBIS,2014-06-16 21:00:00,15,27.58,122.08
HAGIBIS,2014-06-16 22:00:00,15,27.72,122.39
HAGIBIS,2014-06-16 23:00:00,15,27.86,122.69
HAGIBIS,2014-06-17 00:00:00,15,28,123
HAGIBIS,2014-06-17 01:00:00,15,28.1,123.52
HAGIBIS,2014-06-17 02:00:00,15,28.2,124.03
HAGIBIS,2014-06-17 03:00:00,15,28.3,124.55
HAGIBIS,2014-06-17 04:00:00,15,28.4,125.07
HAGIBIS,2014-06-17 05:00:00,15,28.5,125.58
HAGIBIS,2014-06-17 06:00:00,18,28.6,126.1
HAGIBIS,2014-06-17 07:00:00,18,28.68,126.7
HAGIBIS,2014-06-17 08:00:00,18,28.77,127.3
HAGIBIS,2014-06-17 09:00:00,18,28.85,127.9
HAGIBIS,2014-06-17 10:00:00,18,28.93,128.5
HAGIBIS,2014-06-17 11:00:00,18,29.02,129.1
HAGIBIS,2014-06-17 12:00:00,20,29.1,129.7
HAGIBIS,2014-06-17 13:00:00,20,29.15,130.32
HAGIBIS,2014-06-17 14:00:00,20,29.2,130.93
HAGIBIS,2014-06-17 15:00:00,20,29.25,131.55
HAGIBIS,2014-06-17 16:00:00,20,29.3,132.17
HAGIBIS,2014-06-17 17:00:00,20,29.35,132.78
HAGIBIS,2014-06-17 18:00:00,15,29.4,133.4
MATMO,2014-07-16 12:00:00,12,10.5,136
MATMO,2014-07-16 13:00:00,12,10.42,135.95
MATMO,2014-07-16 14:00:00,12,10.33,135.9
MATMO,2014-07-16 15:00:00,12,10.25,135.85
MATMO,2014-07-16 16:00:00,12,10.17,135.8
MATMO,2014-07-16 17:00:00,12,10.08,135.75
MATMO,2014-07-16 18:00:00,12,10,135.7
MATMO,2014-07-16 19:00:00,12,10,135.67
MATMO,2014-07-16 20:00:00,12,10,135.63
MATMO,2014-07-16 21:00:00,12,10,135.6
MATMO,2014-07-16 22:00:00,12,10,135.57
MATMO,2014-07-16 23:00:00,12,10,135.53
MATMO,2014-07-17 00:00:00,15,10,135.5
MATMO,2014-07-17 01:00:00,15,10.02,135.49
MATMO,2014-07-17 02:00:00,15,10.04,135.49
MATMO,2014-07-17 03:00:00,15,10.07,135.48
MATMO,2014-07-17 04:00:00,15,10.09,135.48
MATMO,2014-07-17 05:00:00,15,10.11,135.47
MATMO,2014-07-17 06:00:00,15,10.13,135.47
MATMO,2014-07-17 07:00:00,15,10.16,135.46
MATMO,2014-07-17 08:00:00,15,10.18,135.46
MATMO,2014-07-17 09:00:00,15,10.2,135.45
MATMO,2014-07-17 10:00:00,15,10.22,135.44
MATMO,2014-07-17 11:00:00,15,10.24,135.44
MATMO,2014-07-17 12:00:00,15,10.27,135.43
MATMO,2014-07-17 13:00:00,15,10.29,135.43
MATMO,2014-07-17 14:00:00,15,10.31,135.42
MATMO,2014-07-17 15:00:00,15,10.33,135.42
MATMO,2014-07-17 16:00:00,15,10.36,135.41
