name,location,tele,CityName,latlon
基隆區營業處,基隆市仁一路301號,02-24231156,基隆市,"25.1295186,121.74545510000007"
汐止服務所,新北市汐止區汐萬路1段216號,02-26412176,新北市,"25.072673,121.65213799999992"
七堵服務所,基隆市福五街3號,02-24515821,基隆市,"25.0843339,121.69853439999997"
瑞芳服務所,新北市瑞芳區中山路50號,02-24972124,新北市,"25.1064329,121.80344560000003"
老梅服務所,新北市石門區老梅路52巷23號,02-26381059,新北市,"25.2896477,121.54466309999998"
金山服務所,新北市金山區中正路52號,02-24982036,新北市,"25.2220417,121.63489720000007"
萬里服務所,新北市萬里區瑪鋉路340號,02-24922040,新北市,"25.181807,121.6883312"
貢寮服務所,新北市貢寮區仁義街45號,02-24902220,新北市,"25.052141,121.92540489999999"
雙溪服務所,新北市雙溪區中山路41巷10號,02-24931053,新北市,"25.0329241,121.86511050000001"
平溪服務所,新北市平溪區靜安路二段300號1樓,02-24951014,新北市,"25.0248959,121.74062019999997"
台北市區營業處,台北市基隆路4段75號,02-23788111,台北市,"25.0124089,121.53890539999998"
松山服務所,台北市八德路4段598號2樓,02-27611418,台北市,"25.0498235,121.57253790000004"
台北南區營業處,新北市板橋區四川路一段287號,02-29595111,新北市,"25.0006632,121.45893849999993"
中和服務所,新北市中和區和平街33號,02-29406268,新北市,"24.9916294,121.5066084"
新店服務所,新北市新店區北新路2段129號,02-29141660,新北市,"24.9751969,121.54250000000002"
永和服務所,新北市永和區得和路243巷41號,02-29236122,新北市,"25.0020589,121.52075480000008"
木柵服務所,台北市文山區辛亥路7段38號,02-22364336,台北市,"24.9856724,121.55387700000006"
土城服務所,新北市土城區中央路2段263號,02-22692621,新北市,"24.9710294,121.43986010000003"
深坑服務所,新北市深坑區北深路2段68號,02-26621010,新北市,"25.0041151,121.61875839999993"
龜山服務所,新北市新店區新烏路3段86號,02-26667455,新北市,"24.904022,121.55365099999995"
坪林服務所,新北市坪林區北宜路八段147號,02-26656259,新北市,"24.9345234,121.70712589999994"
台北北區營業處,台北市士林區中山北路5段380號,02-28881678,台北市,"25.0905355,121.52768209999999"
內湖服務所,台北市內湖區堤頂大道2段405號,02-26572487,台北市,"25.080326,121.56319630000007"
淡水服務所,新北市淡水區中正路231號,02-26211221,新北市,"25.172762,121.43615030000001"
南港服務所,台北市南港區南港路2段157號,02-27859020,台北市,"25.053878,121.59514000000001"
北投服務所,台北市北投區溫泉路55號,02-28912041,台北市,"25.134819,121.50417390000007"
台北西區營業處,新北市新莊區化成路135號,02-29916611,新北市,"25.0478508,121.46555269999999"
蘆洲服務所,新北市蘆洲區中正路56號,02-2283-1911,新北市,"25.083079,121.47084399999994"
三重服務所,新北市三重區光明路60-1號,02-2972-1911,新北市,"25.0577298,121.49184130000003"
樹林服務所,新北市樹林區中山路一段191巷1號,02-2684-1911,新北市,"24.9875609,121.42166399999996"
林口服務所,桃園市龜山區文化一路51號,03--211-1911,桃園市,"25.0599455,121.37140390000002"
三峽服務所,新北市三峽區中正路一段64號,02-2668-1911,新北市,"24.930093,121.37471900000003"
泰山服務所,新北市泰山區文程路159號,02-8064-1911,新北市,"25.0498176,121.43577830000004"
