year,id,ch_name,en_name,type,duration,magnitude,hpa,wind_speed,r7_km,r10_km,alert_level
2017,201718,泰利,TALIM,---,2017/9/12 14:30,中度,935,48,250,80,19
,,,,,2017/9/14 20:30,,,,,,
2017,201717,谷超,GUCHOL,---,2017/9/6 10:30,輕度,998,18,80,---,7
,,,,,2017/9/7 02:30,,,,,,
2017,201713,天鴿,HATO,---,2017/8/20 23:30,中度,965,33,180,50,15
,,,,,2017/8/22 17:30,,,,,,
2017,201710,海棠,HAITANG,---,2017/7/29 17:30,輕度,990,20,100,---,14
,,,,,2017/7/31 08:30,,,,,,
2017,201709,尼莎,NESAT,---,2017/7/28 08:30,中度,955,40,180,60,19
,,,,,2017/7/30 14:30,,,,,,
2016,201619,艾利,AERE,---,2016/10/5 11:30,輕度,998,18,120,---,10
,,,,,2016/10/6 14:30,,,,,,
2016,201617,梅姬,MEGI,3,2016/9/25 23:30,中度,940,45,250,100,23
,,,,,2016/9/28 17:30,,,,,,
2016,201616,馬勒卡,MALAKAS,---,2016/9/15 23:30,中度,940,45,180,60,20
,,,,,2016/9/18 08:30,,,,,,
2016,201614,莫蘭蒂,MERANTI,7,2016/9/12 23:30,強烈,900,60,220,80,21
,,,,,2016/9/15 11:30,,,,,,
2016,201601,尼伯特,NEPARTAK,4,2016/7/6 14:30,強烈,905,58,200,80,25
,,,,,2016/7/9 14:30,,,,,,
2015,201521,杜鵑,DUJUAN,2,2015/9/27 08:30,強烈,925,51,220,80,20
,,,,,2015/9/29 17:30,,,,,,
2015,201515,天鵝,GONI,---,2015/8/20 17:30,強烈,925,51,200,80,26
,,,,,2015/8/23 20:30,,,,,,
2015,201513,蘇迪勒,SOUDELOR,3,2015/8/6 11:30,中度,930,48,300,100,24
,,,,,2015/8/9 08:30,,,,,,
2015,201510,蓮花,LINFA,---,2015/7/6 08:30,輕度,975,30,120,30,24
,,,,,2015/7/9 05:30,,,,,,
2015,201509,昌鴻,CHAN-HOM,---,2015/7/9 05:30,中度,935,48,280,100,19
,,,,,2015/7/11 11:30,,,,,,
2015,201506,紅霞,NOUL,---,2015/5/10 08:30,強烈,925,51,200,80,13
,,,,,2015/5/11 20:30,,,,,,
2014,201416,鳳凰,FUNG-WONG,特殊,2014/9/19 08:30,輕度,985,25,150,---,25
,,,,,2014/9/22 08:30,,,,,,
2014,201410,麥德姆,MATMO,3,2014/7/21 17:30,中度,960,38,200,80,19
,,,,,2014/7/23 23:30,,,,,,
2014,201407,哈吉貝,HAGIBIS,---,2014/6/14 23:30,輕度,992,20,100,---,7
,,,,,2014/6/15 17:30,,,,,,
2013,201323,菲特,FITOW,1,2013/10/4 23:30,中度,960,38,250,80,20
,,,,,2013/10/7 08:30,,,,,,
2013,201319,天兔,USAGI,5,2013/9/19 23:30,強烈,910,55,280,120,22
,,,,,2013/9/22 14:30,,,,,,
2013,201315,康芮,KONG-REY,6,2013/8/27 11:30,輕度,985,25,120,---,20
,,,,,2013/8/29 20:30,,,,,,
2013,201312,潭美,TRAMI,1,2013/8/20 11:30,輕度,970,30,180,---,16
,,,,,2013/8/22 08:30,,,,,,
2013,201308,西馬隆,CIMARON,---,2013/7/17 10:30,輕度,998,18,100,---,10
,,,,,2013/7/18 11:30,,,,,,
2013,201307,蘇力,SOULIK,2,2013/7/11 08:30,強烈,925,51,280,100,22
,,,,,2013/7/13 23:30,,,,,,
2012,201217,杰拉華,JELAWAT,---,2012/9/27 02:30,強烈,910,55,250,100,15
,,,,,2012/9/28 20:30,,,,,,
2012,201214,天秤,TEMBIN,特殊,2012/8/21 14:30,中度,945,45,180,50,33
,,,,,2012/8/25 14:30,,,,,,
,,,,,2012/8/26 11:30,中度,945,35,180,50,21
,,,,,2012/8/28 23:30,,,,,,
2012,201213,啟德,KAI-TAK,---,2012/8/14 14:30,輕度,995,20,150,---,10
,,,,,2012/8/15 17:30,,,,,,
2012,201211,海葵,HAIKUI,---,2012/8/6 11:30,中度,960,35,180,50,11
,,,,,2012/8/7 17:30,,,,,,
